id,ylang,tlang,level,wclass,word,subject,tense,type,ylang_ex,tlang_ex,tlang_exf,furigana,chikugoyaku
1,English,Japanese,beginner,i-adjective,寒い,total 17,present positive,,,今日はとても寒い,,,1
2,,,,,,,,,,冬はとても寒いです,,,1
3,,,,,,,,,,ここはとても寒い,,,1
4,,,,,,,,,,日本はとても寒いです,,,1
5,,,,,,,,,,日本の冬はとても寒い,,,1
6,,,,,,,,,,今日はどれくらい寒いですか？,,,1
7,,,,,,,present negative,,,今日はあまり寒くない,,,1
8,,,,,,,,,,冬はあまり寒くないです,,,1
9,,,,,,,,,,ここはあまり寒くない,,,1
10,,,,,,,,,,日本はあまり寒くないです,,,1
11,,,,,,,,,,日本の冬はあまり寒くない,,,1
12,,,,,,,past positive,,,昨日はとても寒かった,,,1
13,,,,,,,,,,あそこはとても寒かったです,,,1
14,,,,,,,,,,日本はとても寒かった,,,1
15,,,,,,,,,,日本はどれくらい寒かったですか？,,,1
16,,,,,,,past negative,,,昨日はあまり寒くなかった,,,1
17,,,,,,,,,,日本はあまり寒くなかったです,,,1
18,,,,,暑い,total 17,present positive,,,今日はとても暑い,,,1
19,,,,,,,,,,夏はとても暑いです,,,1
20,,,,,,,,,,ここはとても暑い,,,1
,,,,,,,,,,日本はとても暑いです,,,1
,,,,,,,,,,日本の夏はとても暑い,,,1
,,,,,,,,,,今日はどれくらい暑いですか？,,,1
,,,,,,,present negative,,,今日はあまり暑くない,,,1
,,,,,,,,,,夏はあまり暑くないです,,,1
,,,,,,,,,,ここはあまり暑くない,,,1
,,,,,,,,,,日本はあまり暑くないです,,,1
,,,,,,,,,,日本の夏はあまり暑くない,,,1
,,,,,,,past positive,,,昨日はとても暑かった,,,1
,,,,,,,,,,あそこはとても暑かったです,,,1
,,,,,,,,,,日本はとても暑かった,,,1
,,,,,,,,,,日本はどれくらい暑かったですか？,,,1
,,,,,,,past negative,,,昨日はあまり暑くなかった,,,1
,,,,,,,,,,日本はあまり暑くなかったです,,,1
,,,,,大きい,,present positive,,,アメリカはとても大きい,,,1
,,,,,,,,,,彼の体はとても大きいです,,,1
,,,,,,,,,,彼女の声はとても大きい,,,1
,,,,,,,,,,私の家はとても大きいです,,,1
,,,,,,,,,,君の家はどれくらい大きいですか？,,,1
,,,,,,,present negative,,,彼の家はあまり大きくない,,,1
,,,,,,,,,,父の会社はあまり大きくないです,,,1
,,,,,,,,,,彼女の声はあまり大きくない,,,1
,,,,,,,,,,彼の体はあまり大きくないです,,,1
,,,,,,,past positive,,,この図書館は以前とても大きかった,,,1
,,,,,,,,,,彼女の学校はとても大きかったです,,,1
,,,,,,,past negative,,,父の会社は以前あまり大きくなかった,,,1
,,,,,,,,,,彼の部屋はあまり大きくなかったです,,,1
,,,,,小さい,,present positive,,,日本はとても小さい,,,1
,,,,,,,,,,彼の体はとても小さいです,,,1
,,,,,,,,,,彼女の声はとても小さい,,,1
,,,,,,,,,,私の家はとても小さいです,,,1
,,,,,,,,,,君の家はどれくらい小さいですか？,,,1
,,,,,,,present negative,,,彼の家は全然小さくない,,,1
,,,,,,,,,,父の会社は全然小さくないです,,,1
,,,,,,,,,,彼女の声は全然小さくない,,,1
,,,,,,,,,,彼の体は全然小さくないです,,,1
,,,,,,,past positive,,,この図書館は以前とても小さかった,,,1
,,,,,,,,,,彼女の学校はとても小さかったです,,,1
,,,,,,,past negative,,,父の会社は以前全然小さくなかった,,,1
,,,,,,,,,,彼の部屋は全然小さくなかったです,,,1
,,,,,多い,total 15,present positive,,,私の部屋は本がとても多い,,,1
,,,,,,,,,,この町は人がとても多いです,,,1
,,,,,,,,,,このラーメンは量がとても多い,,,1
,,,,,,,,,,彼女は友達がとても多いです,,,1
,,,,,,,,,,この学校は外国人が多いですか？,,,1
,,,,,,,present negative,,,私の部屋は本があまり多くない,,,1
,,,,,,,,,,この町は人があまり多くないです,,,1
,,,,,,,,,,このラーメンは量があまり多くない,,,1
,,,,,,,,,,彼女は友達があまり多くないです,,,1
,,,,,,,past positive,,,彼の部屋は本がとても多かった,,,1
,,,,,,,,,,あの町は以前人がとても多かったです,,,1
,,,,,,,,,,昨日のラーメンは量がとても多かった,,,1
,,,,,,,,,,彼は以前友達がとても多かったです,,,1
,,,,,,,past negative,,,彼女は以前友達があまり多くなかった,,,1
,,,,,,,,,,この学校は以前外国人があまり多くなかったです,,,1
,,,,,少ない,total 15,present positive,,,私の部屋は本がとても少ない,,,1
,,,,,,,,,,この町は人がとても少ないです,,,1
,,,,,,,,,,このラーメンは量がとても少ない,,,1
,,,,,,,,,,彼女は友達がとても少ないです,,,1
,,,,,,,,,,この学校は外国人が少ないですか？,,,1
,,,,,,,present negative,,,私の部屋は本が少なくない,,,1
,,,,,,,,,,この町は人が少なくない,,,1
,,,,,,,,,,このラーメンは量が少なくない,,,1
,,,,,,,,,,彼女は友達が少なくないです,,,1
,,,,,,,past positive,,,彼の部屋は物がとても少なかった,,,1
,,,,,,,,,,あの町は以前人がとても少なかったです,,,1
,,,,,,,,,,昨日のラーメンは量がとても少なかった,,,1
,,,,,,,,,,彼は以前友達がとても少なかったです,,,1
,,,,,,,past negative,,,彼女は以前友達が少なくなかった,,,1
,,,,,,,,,,この学校は以前外国人が少なくなかったです,,,1